LineRef;LineName
STIF:Line::C01260:;281
STIF:Line::C01435:;A
STIF:Line::C02059:;27
STIF:Line::C01400:;N31
STIF:Line::C01204:;183
STIF:Line::C00516:;3930C
STIF:Line::C00180:;29
STIF:Line::C00232:;R5
STIF:Line::C01292:;340
STIF:Line::C01810:;108
STIF:Line::C01040:;10
STIF:Line::C00117:;26
STIF:Line::C00496:;3910
STIF:Line::C00801:;3633
STIF:Line::C00948:;R
STIF:Line::C00402:;7
STIF:Line::C00909:;S
STIF:Line::C00908:;10
STIF:Line::C00948:;R
STIF:Line::C02229:;Qs
STIF:Line::C01156:;127
STIF:Line::C02317:;T9
STIF:Line::C00544:;439
STIF:Line::C01227:;213
STIF:Line::C00494:;3907A
STIF:Line::C01194:;173
STIF:Line::C00768:;40
STIF:Line::C00197:;15
STIF:Line::C01341:;545
STIF:Line::C00823:;10
STIF:Line::C00831:;18A
STIF:Line::C02155:;15
STIF:Line::C00043:;6124
STIF:Line::C00705:;6171
STIF:Line::C01805:;6134
STIF:Line::C00674:;DM11G
STIF:Line::C00149:;10
STIF:Line::C00137:;511
STIF:Line::C00504:;3927
STIF:Line::C02444:;28
STIF:Line::C02191:;62A
STIF:Line::C01604:;Z
STIF:Line::C01684:;T5
STIF:Line::C01766:;116
STIF:Line::C01820:;02E
STIF:Line::C00021:;201
STIF:Line::C01193:;172
STIF:Line::C01522:;441
STIF:Line::C00547:;10 (Future 440)
STIF:Line::C01951:;12
STIF:Line::C01285:;321
STIF:Line::C00380:;24-juin
STIF:Line::C01189:;167
STIF:Line::C01252:;269
STIF:Line::C00425:;6241
STIF:Line::C00694:;6203
STIF:Line::C00696:;6205
STIF:Line::C01624:;409
STIF:Line::C00305:;1533
STIF:Line::C02461:;DM3B
STIF:Line::C00040:;6178
STIF:Line::C00705:;6171
STIF:Line::C00066:;20
