name;MonitoringRef
Ateliers RATP;STIF:StopPoint:Q:39346:
Ateliers RATP de Sucy;STIF:StopPoint:Q:23133:
Athenee Les Vignes;STIF:StopPoint:Q:2518:
Athenes;STIF:StopPoint:Q:426319:
Athis Mons;STIF:StopPoint:Q:486433:
Athis-Mons RER;STIF:StopPoint:Q:423989:
Atlantique;STIF:StopPoint:Q:485332:
Atlantique 1;STIF:StopPoint:Q:11287:
Atlantique 2;STIF:StopPoint:Q:2839:
Atlas;STIF:StopPoint:Q:39884:
Atrium;STIF:StopPoint:Q:471334:
Attilly;STIF:StopPoint:Q:16264:
Attripes;STIF:StopPoint:Q:27603:
Aubepine;STIF:StopPoint:Q:12080:
Aubepines;STIF:StopPoint:Q:12493:
Auber;STIF:StopPoint:Q:9118:
Auberge;STIF:StopPoint:Q:9806:
Auberge de la jeunesse;STIF:StopPoint:Q:17370:
Auberge Sans Nom;STIF:StopPoint:Q:423034:
Aubergenville Elisabethville;STIF:StopPoint:Q:32426:
Aubergenville elisabethville;STIF:StopPoint:Q:472292:
Aubergenville elisabethville - Quai 4;STIF:StopPoint:Q:490720:
Aubergenville-Elisabethville Gare quai 3;STIF:StopPoint:Q:490484:
Aubert;STIF:StopPoint:Q:22429:
Aubervilliers-Pantin Quatre Chemins;STIF:StopPoint:Q:463031:
Aubigny Mairie;STIF:StopPoint:Q:6474:
Aubin;STIF:StopPoint:Q:11646:
Aubray;STIF:StopPoint:Q:3214:
Audemars;STIF:StopPoint:Q:4464:
Audigeois;STIF:StopPoint:Q:487904:
Audra;STIF:StopPoint:Q:8057:
Audran;STIF:StopPoint:Q:29097:
Auffreville;STIF:StopPoint:Q:35519:
Augier;STIF:StopPoint:Q:32012:
Augusta Antony RER;STIF:StopPoint:Q:12229:
Auguste Blanqui;STIF:StopPoint:Q:8923:
Auguste Brun;STIF:StopPoint:Q:17084:
Auguste Brunot;STIF:StopPoint:Q:4058:
Auguste Comte;STIF:StopPoint:Q:22983:
Auguste Delaune;STIF:StopPoint:Q:23236:
Auguste Franchot;STIF:StopPoint:Q:30212:
Auguste Metivier;STIF:StopPoint:Q:8430:
Auguste Mounie - Division Leclerc;STIF:StopPoint:Q:426886:
Auguste Perret;STIF:StopPoint:Q:29856:
Auguste Perret (Cimetiere Parisien);STIF:StopPoint:Q:35931:
Auguste Plat;STIF:StopPoint:Q:3726:
Auguste Plat - Station Esso;STIF:StopPoint:Q:4053:
Auguste Polissard;STIF:StopPoint:Q:22600:
Auguste Renoir;STIF:StopPoint:Q:18941:
Augustin Claude;STIF:StopPoint:Q:37053:
Augustin Dumont;STIF:StopPoint:Q:8188:
Augustin Fresnel;STIF:StopPoint:Q:11636:
Aulnay Mallo;STIF:StopPoint:Q:13337:
Aulnay-sous-Bois;STIF:StopPoint:Q:472147:
Aulnay-sous-Bois RER;STIF:StopPoint:Q:28317:
Aulnes;STIF:StopPoint:Q:462297:
Aulnette;STIF:StopPoint:Q:30689:
Aulnoy;STIF:StopPoint:Q:16831:
Aulnoye;STIF:StopPoint:Q:480125:
Auneau;STIF:StopPoint:Q:41325:
Aunettes;STIF:StopPoint:Q:462912:
Aunettes LEP;STIF:StopPoint:Q:3861:
Aureau;STIF:StopPoint:Q:15296:
Aureines;STIF:StopPoint:Q:18711:
Aurore;STIF:StopPoint:Q:9087:
Austerlitz;STIF:StopPoint:Q:16841:
Austerlitz - Cour Seine;STIF:StopPoint:Q:411308:
Australie;STIF:StopPoint:Q:39409:
Auteuil;STIF:StopPoint:Q:3180:
Autheil;STIF:StopPoint:Q:6023:
Autheuil;STIF:StopPoint:Q:16486:
Automobiles;STIF:StopPoint:Q:462251:
Auvers;STIF:StopPoint:Q:7235:
Auvers sur Oise;STIF:StopPoint:Q:41112:
Auvert;STIF:StopPoint:Q:30806:
Avant-Seine;STIF:StopPoint:Q:482684:
Avelines - Daunieres;STIF:StopPoint:Q:485887:
Avenir;STIF:StopPoint:Q:479783:
Avenue;STIF:StopPoint:Q:31851:
Avenue Ardouin;STIF:StopPoint:Q:37294:
Avenue Bertrand;STIF:StopPoint:Q:37295:
Avenue Bocquet;STIF:StopPoint:Q:38421:
Avenue Carlier;STIF:StopPoint:Q:14272:
Avenue Carnot;STIF:StopPoint:Q:33870:
Avenue de Bobigny;STIF:StopPoint:Q:26510:
Avenue de Bonneuil;STIF:StopPoint:Q:28066:
Avenue de Bures;STIF:StopPoint:Q:11383:
Avenue de Chavoye;STIF:StopPoint:Q:32637:
Avenue de Choisy;STIF:StopPoint:Q:462739:
Avenue de Corbeil;STIF:StopPoint:Q:30860:
Avenue de Dampierre;STIF:StopPoint:Q:20712:
Avenue de Fontainebleau;STIF:StopPoint:Q:427292:
Avenue de France;STIF:StopPoint:Q:24137:
Avenue de Gaulle;STIF:StopPoint:Q:480523:
Avenue de Gaumont;STIF:StopPoint:Q:41425:
Avenue de Gravelle;STIF:StopPoint:Q:13214:
Avenue de la Brie;STIF:StopPoint:Q:11162:
Avenue de la Chesnaie;STIF:StopPoint:Q:20503:
Avenue de la Gare;STIF:StopPoint:Q:32518:
Avenue de la Liberation;STIF:StopPoint:Q:5310:
Avenue de la Maladrerie;STIF:StopPoint:Q:14152:
Avenue de la Mare;STIF:StopPoint:Q:8822:
Avenue de la Marne;STIF:StopPoint:Q:478213:
Avenue de la Marne - Commandant Louis Bouchet;STIF:StopPoint:Q:29802:
Avenue de la Paix;STIF:StopPoint:Q:35198:
